combined_text,predicted_topics,scores
"- All right, we gotta talk about these folding phones for a minute, because it's changed a lot since the last time we did. So the first ever folding phone from OnePlus came out this week.","['Design', 'Screen or Display', 'Unknown', 'Phone performance', 'Price', 'Build quality', 'Battery or Charging', 'Camera']","[0.8012409210205078, 0.09489931166172028, 0.042505353689193726, 0.02313624881207943, 0.014534768648445606, 0.01273098774254322, 0.007509692572057247, 0.0034427372738718987]"
"It's called the OnePlus Open. Not a very, very, very, very good, first gen foldable.","['Screen or Display', 'Design', 'Phone performance', 'Build quality', 'Unknown', 'Battery or Charging', 'Price', 'Camera']","[0.40145158767700195, 0.17197273671627045, 0.12982550263404846, 0.1295359879732132, 0.057378172874450684, 0.048300422728061676, 0.04120831564068794, 0.020327240228652954]"
"I've been using it for about three weeks now. I feel like it's so good, that it's actually resurfaced the old question in my head from a couple Years ago, which is, what's it gonna take for regular people to actually start buying folding phones?","['Unknown', 'Phone performance', 'Design', 'Screen or Display', 'Build quality', 'Price', 'Camera', 'Battery or Charging']","[0.527259886264801, 0.18669568002223969, 0.13907483220100403, 0.04901722073554993, 0.039124783128499985, 0.034902896732091904, 0.01342185027897358, 0.01050280500203371]"
"Because, yeah, I like this phone, and I'm gonna go ahead and guess that some other reviewers will like this phone too, and some enthusiasts will like this phone, and this video may even get a lot of views, but none of that necessarily translates into regular people just like, strolling into a store, or going online and choosing to buy one of these. Details of this phone.","['Screen or Display', 'Design', 'Unknown', 'Phone performance', 'Price', 'Build quality', 'Camera', 'Battery or Charging']","[0.31458666920661926, 0.17782963812351227, 0.15761475265026093, 0.14277328550815582, 0.06791485100984573, 0.061129964888095856, 0.049992289394140244, 0.02815854921936989]"
"So this is a super high-end phone in every way, and the design is particularly well considered. You can see it's basically the same size as a normal phone on the outside.","['Design', 'Build quality', 'Screen or Display', 'Price', 'Phone performance', 'Unknown', 'Camera', 'Battery or Charging']","[0.7247847318649292, 0.1938474327325821, 0.034294240176677704, 0.02029252052307129, 0.015259124338626862, 0.006468475796282291, 0.002700215671211481, 0.002353196032345295]"
"It's LTPO down to 10 hertz, and it's an absurdly bright 2800 nits max brightness between these pretty thin bezels. So this actually does take the crown now for the brightest display I have ever seen in a smartphone.","['Screen or Display', 'Design', 'Build quality', 'Phone performance', 'Unknown', 'Price', 'Battery or Charging', 'Camera']","[0.8977153897285461, 0.04953419789671898, 0.023784702643752098, 0.016516923904418945, 0.005926082376390696, 0.0037979220505803823, 0.0019880265463143587, 0.0007367776706814766]"
"And I'm gonna go. Then give it the co-crown for best foldable to use while closed, alongside the Pixel Fold.","['Screen or Display', 'Design', 'Phone performance', 'Unknown', 'Build quality', 'Price', 'Camera', 'Battery or Charging']","[0.3529980480670929, 0.31682127714157104, 0.1708712875843048, 0.05042348802089691, 0.04544723406434059, 0.031751848757267, 0.01800907962024212, 0.013677699491381645]"
"So I still think the Pixel Fold has, it's more reachable, it has better button placement, since it's a bit shorter. But there's no question this feels like a flagship phone on the outside, even if you never even open the thing.","['Design', 'Phone performance', 'Screen or Display', 'Build quality', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.5316554307937622, 0.18471892178058624, 0.11628301441669464, 0.09780354797840118, 0.046606652438640594, 0.015084713697433472, 0.004392879083752632, 0.0034548223484307528]"
"There's also a bunch of design touches I really like, the flat sides all the way around, super clean. The alert slider is also back, so it's way up there at the top of the...","['Design', 'Screen or Display', 'Build quality', 'Phone performance', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.7649029493331909, 0.15989428758621216, 0.02520366944372654, 0.019297420978546143, 0.014307877980172634, 0.008120712824165821, 0.006359314080327749, 0.0019137943163514137]"
"The phone, which is kind of tough to reach, but I love that it works exactly as you'd expect. Same as previous OnePlus phones that had it.","['Phone performance', 'Screen or Display', 'Build quality', 'Design', 'Battery or Charging', 'Unknown', 'Price', 'Camera']","[0.5132656693458557, 0.33505526185035706, 0.05232682079076767, 0.045135676860809326, 0.02361341565847397, 0.016493232920765877, 0.007484032306820154, 0.006625905632972717]"
"And the power button also doubles as the fingerprint reader, which we've seen with lots of these folds as well. It's awesome.","['Battery or Charging', 'Design', 'Phone performance', 'Build quality', 'Screen or Display', 'Unknown', 'Price', 'Camera']","[0.5324681401252747, 0.12694886326789856, 0.10343073308467865, 0.09347009658813477, 0.08138953894376755, 0.0381183885037899, 0.020550092682242393, 0.0036241067573428154]"
